Artist,Listeners,Daily Trend,Peak,PkListeners
The Weeknd,"107,592,328","-138,880",1,"113,034,886"
Taylor Swift,"101,003,302",889,2,"101,003,302"
Ed Sheeran,"76,475,126","-68,137",2,"87,934,910"
Dua Lipa,"76,421,916","-71,356",4,"77,778,397"
Bad Bunny,"76,162,057","-199,052",3,"83,950,570"
Rihanna,"75,784,389","116,405",2,"80,958,750"
Drake,"75,371,611","-67,013",6,"76,391,086"
Justin Bieber,"72,623,228","34,540",6,"75,467,229"
Billie Eilish,"71,793,820","-72,877",8,"72,368,528"
Miley Cyrus,"71,277,599","71,089",2,"84,140,935"
David Guetta,"70,838,823","-97,589",4,"75,163,500"
Travis Scott,"67,161,542","-362,718",6,"75,422,869"
Ariana Grande,"66,501,219","26,682",3,"82,981,758"
Coldplay,"65,709,359","-24,710",12,"69,814,134"
Calvin Harris,"65,035,055","32,662",13,"67,342,768"
Shakira,"64,372,012","-130,204",3,"82,268,835"
Eminem,"64,022,485","-52,362",11,"68,591,390"
Post Malone,"63,914,311","-55,144",13,"67,066,636"
Bruno Mars,"63,867,677","246,177",17,"63,867,677"
Doja Cat,"63,625,260","716,207",20,"63,625,260"
Nicki Minaj,"62,742,304","-199,822",18,"65,680,733"
SZA,"61,778,853","-1,645",9,"69,932,543"
Harry Styles,"59,560,609","-131,842",13,"66,411,599"
Olivia Rodrigo,"58,763,998","732,723",24,"58,763,998"
Imagine Dragons,"58,675,255","139,463",18,"61,624,656"
Kanye West,"58,060,520","91,184",24,"58,060,520"
Maroon 5,"57,136,964","-16,983",21,"58,793,104"
Marshmello,"57,114,865","125,302",21,"58,346,399"
KAROL G,"56,787,835","-42,758",21,"59,143,777"
Lana Del Rey,"56,710,801","-29,886",27,"56,740,687"
Sam Smith,"56,001,427","3,604",7,"73,972,799"
21 Savage,"55,901,908","86,564",19,"61,319,583"
Selena Gomez,"55,309,116","208,288",22,"58,879,269"
Daddy Yankee,"54,174,801","-95,548",22,"58,098,739"
Lady Gaga,"52,765,199","-1,753",22,"57,730,508"
Metro Boomin,"52,207,822","-97,261",17,"62,911,430"
Future,"52,074,976","-148,160",22,"58,360,653"
Khalid,"51,957,671","-57,019",28,"54,186,217"
J Balvin,"51,590,178","-73,978",29,"54,792,335"
BeyoncÃ©,"51,442,770","-122,792",26,"55,563,018"
Adele,"51,380,385","57,407",31,"53,902,159"
Katy Perry,"51,148,181","51,119",29,"53,998,988"
Peso Pluma,"50,247,712","71,053",33,"53,877,990"
Elton John,"48,343,456","43,055",40,"50,362,330"
Queen,"47,586,054","93,668",45,"48,573,860"
Chris Brown,"47,450,314","-25,474",25,"54,390,450"
Kendrick Lamar,"47,391,930","-8,503",33,"54,045,549"
OneRepublic,"47,384,563","-104,857",39,"50,035,577"
Myke Towers,"47,028,831","-27,706",49,"47,235,005"
Rauw Alejandro,"46,559,302","-100,409",34,"52,131,934"
Ozuna,"45,879,131","-106,370",40,"51,532,028"
Arctic Monkeys,"45,790,038","124,615",52,"45,790,038"
Sia,"45,728,333","-29,481",43,"47,868,578"
Shawn Mendes,"44,310,129","-12,741",45,"46,917,936"
Bebe Rexha,"43,999,789","-1,426",37,"49,496,274"
TiÃ«sto,"43,284,312","-243,951",44,"46,094,072"
Halsey,"42,532,070","1,172",48,"45,939,636"
Bizarrap,"42,259,038","-150,381",28,"54,300,662"
Charlie Puth,"41,537,987","-17,338",58,"42,603,508"
Ice Spice,"41,330,265","-368,853",49,"47,203,544"
J. Cole,"41,053,576","-4,941",56,"44,549,954"
Ellie Goulding,"40,958,180","-74,640",51,"45,626,754"
