Store,Product,Count
Nairobi,AirPods,40
Nairobi,AirPods Max,15
Nairobi,AirPods Pro,46
Nairobi,AirTag,29
Nairobi,Apple Pencil,34
Nairobi,Apple Pencil Tips,21
Nairobi,Apple Remote,38
Nairobi,Apple Thunderbolt Cable,25
Nairobi,Apple TV 4K,43
Nairobi,Apple TV HD,28
Nairobi,Apple Watch,21
Nairobi,Apple Watch SE,32
Nairobi,Apple Watch Ultra,43
Nairobi,Apple World Travel Adapter Kit,19
Nairobi,EarPods,47
Nairobi,HomePod,42
Nairobi,HomePod Mini,17
Nairobi,iMac,12
Nairobi,iMac Pro,8
Nairobi,iPad,24
Nairobi,iPad Mini,25
Nairobi,iPad Pro,49
Nairobi,iPhone 11,2
Nairobi,iPhone 11 Pro,11
Nairobi,iPhone 11 Pro Max,47
Nairobi,iPhone 12,11
Nairobi,iPhone 12 Mini,5
Nairobi,iPhone 12 Pro,22
Nairobi,iPhone 12 Pro Max,19
Nairobi,iPhone 13,32
Nairobi,iPhone 13 Mini,46
Nairobi,iPhone 13 Pro,26
Nairobi,iPhone 13 Pro Max,28
Nairobi,iPhone 14,34
Nairobi,iPhone 14 Plus,7
Nairobi,iPhone 14 Pro,8
Nairobi,iPhone 14 Pro Max,5
Nairobi,iPhone 15,5
Nairobi,iPhone 15 Plus,50
Nairobi,iPhone 15 Pro,48
Nairobi,iPhone 15 Pro Max,9
Nairobi,iPhone 7,19
Nairobi,iPhone 7 Plus,21
Nairobi,iPhone 8,15
Nairobi,iPhone 8 Plus,34
Nairobi,iPhone Leather Case,22
Nairobi,iPhone Leather Sleeve,43
Nairobi,iPhone SE,10
Nairobi,iPhone TTY Adapter,34
Nairobi,iPhone X,44
Nairobi,iPhone XR,47
Nairobi,iPhone XS,36
Nairobi,iPhone XS Max,10
Nairobi,iPod,29
Nairobi,iPod Mini,40
Nairobi,iPod Nano,27
Nairobi,iPod Shuffle,20
Nairobi,iPod Touch,36
Nairobi,Mac Mini,42
Nairobi,Mac Pro Feet Kit,14
Nairobi,Mac Prop,26
Nairobi,Mac Studio,49
Nairobi,MacBook Air,12
Nairobi,MacBook Pro,18
Nairobi,Magic Keyboard,45
